key,user,unixTime,postText,time,words
17279,RussianRed,1270506115," 
 
Did Carl have that shirt Bugs?, or is that a sore subject too. Your still a hebhitch to me!",2010-04-05T22:21:55Z," 
 
did carl have that shirt bugs   or is that a sore subject too  your still a hebhitch to me "
29532,Skunkman1,1271905259,"Since I don't know how to download Pics go here! for some of me and others!  I do still laugh every time I see the picture of us holding up the banner while I'm goosing RR!

 ",2010-04-22T03:00:59Z,"since i don't know how to download pics go here  for some of me and others   i do still laugh every time i see the picture of us holding up the banner while i'm goosing rr 

 "
30341,4evrHusker,1272043849," 

Did you have to change your shorts after you were done?  Looks like the aroma stunned sonof_fred completely.  :stickouttongue: :eek: :stickouttongue:

That's juice like your shirt is tucked in.  Nice straw though..... :stickouttongue: :stickouttongue:",2010-04-23T17:30:49Z," 

did you have to change your shorts after you were done   looks like the aroma stunned sonof_fred completely   :stickouttongue: :eek: :stickouttongue:

that's juice like your shirt is tucked in   nice straw though      :stickouttongue: :stickouttongue:"
32870,HuskerWeatherman,1272299842," 

This """"""""bonding"""""""" experience has probably taken its course now... 

True...I do have most of my teeth...ummm...",2010-04-26T16:37:22Z," 

this """"""""bonding"""""""" experience has probably taken its course now    

true   i do have most of my teeth   ummm   "
33030,Husker Poyer,1272314226," 
 
Holy crap, Luth's here!  Everyone run!  (btw where have you been, it's been lonely with just me and RP)",2010-04-26T20:37:06Z," 
 
holy crap  luth's here   everyone run   (btw where have you been  it's been lonely with just me and rp)"
38718,Cardinal,1273097251," 

Third man in.  That's a five minute major.

I'll pass your creative thoughts on to my CU fan friends for you, if there are any left.  I'm sure they'll be crushed. Oh, wait, they're reknown as apathetic fans, so they probably won't really give a rat's pitootie.  Golly, I'm so confused.  Which is it? 

Oh, and you forgot the kitchen sink.  Should I throw that in too when I pass your ingenuity on? ;)",2010-05-05T22:07:31Z," 

third man in   that's a five minute major 

i'll pass your creative thoughts on to my cu fan friends for you  if there are any left   i'm sure they'll be crushed  oh  wait  they're reknown as apathetic fans  so they probably won't really give a rat's pitootie   golly  i'm so confused   which is it  

oh  and you forgot the kitchen sink   should i throw that in too when i pass your ingenuity on   )"
87938,FCHusker,1280179749," 
 
Man, it is dead around here! Can you hear the crickets????? Nobody has posted anything in almost 24 hours!!",2010-07-26T21:29:09Z," 
 
man  it is dead around here  can you hear the crickets      nobody has posted anything in almost 24 hours  "
87964,HuskerInHuntingtonBeach,1280183825,I have heard rumblings that there is a solid recruit that NU may be heading a different direction.  I wasn't sure if anyone knew why if this is even accurate?,2010-07-26T22:37:05Z,i have heard rumblings that there is a solid recruit that nu may be heading a different direction   i wasn't sure if anyone knew why if this is even accurate 
87969,FCHusker,1280184586,"Dylan Admire has de-committed. He let Carl know. 

 ",2010-07-26T22:49:46Z,"dylan admire has de-committed  he let carl know  

 "
87982,IMfanFORnu,1280185535,"Exactly why I love statements like this from the recruiting sites  :

 

Note the date was 5 days ago,  lol


  ",2010-07-26T23:05:35Z,"exactly why i love statements like this from the recruiting sites  :

 

note the date was 5 days ago   lol


  "
