V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
1,1,0,Socalred,1466826298,How on earth do we get back to our regular forums?,14,visible,0,0,0,a:0:{},0,,0,0,0
16281,821,342,fjbfour,1270359908,"New board, let's roll this one out again.

I'll go first.

This is me, standing with none other than David Max, when he stopped in to visit me at work in Minnesota Power's Energy Control Center, in Duluth MN, sometime around 2005.

[img]http://www.billingtons.net/huskers/brmfjb1.jpg[/img]

And me in my other life....circa 2008.

[img]http://www.billingtons.net/huskers/E14-1.JPG[/img]",1340,visible,0,0,0,a:0:{},0,,1424499314,342,1
16291,821,268,Red Reign,1270379091,Sticky....:),1341,visible,0,1,0,a:0:{},0,,0,0,0
17020,821,271,Pops,1270475238,"I aint skeered

[IMG]http://www.huskermax.com/vbbs/attachment.php?attachmentid=35[/IMG]",1342,visible,0,2,0,a:0:{},0,,0,0,0
17032,821,328,RedPhoenix,1270477459,"Me with Maxy and some crazy Russian dude.

[IMG]http://i42.tinypic.com/2dl9n4n.jpg[/IMG]",1343,visible,0,3,0,a:0:{},0,,0,0,0
17044,821,265,Husker Poyer,1270479520,"Here is me and sonof_fred. (I'm the especially thin one with the sunglasses)

[IMG]http://sphotos.ak.fbcdn.net/photos-ak-sf2p/v34/226/99/13904709/n13904709_32858045_4103.jpg[/IMG]",1344,visible,0,4,0,a:0:{},0,,0,0,0
17051,821,328,RedPhoenix,1270480189,"The one in the background with the bikini on?[quote=""""Husker Poyer, post: 17044""""]Here is me and sonof_fred. (I'm the especially thin one with the sunglasses)

[IMG]http://sphotos.ak.fbcdn.net/photos-ak-sf2p/v34/226/99/13904709/n13904709_32858045_4103.jpg[/IMG][/QUOTE]",1345,visible,0,5,0,a:0:{},0,,0,0,0
17055,821,265,Husker Poyer,1270480387,"[quote=""""RedPhoenix, post: 17051""""]The one in the background with the bikini on?[/QUOTE]
 
I hate everything that you stand for.

[img]http://sphotos.ak.fbcdn.net/hphotos-ak-snc3/hs219.snc3/22670_103007276389125_100000395585239_79086_1262058_n.jpg[/img]

This is a shirt I got for Christmas.  It's pretty sweet.",1346,visible,0,6,0,a:0:{},0,,0,0,0
17059,821,328,RedPhoenix,1270480837,"Got this for the wife.... [IMG]http://www.suiteone.net/2hc/images/products/flat-300.jpg[/IMG][quote=""""Husker Poyer, post: 17055""""]I hate everything that you stand for.

[img]http://sphotos.ak.fbcdn.net/hphotos-ak-snc3/hs219.snc3/22670_103007276389125_100000395585239_79086_1262058_n.jpg[/img]

This is a shirt I got for Christmas.  It's pretty sweet.[/QUOTE]",1347,visible,0,7,0,a:0:{},0,,0,0,0
17183,821,32,Bucky,1270493629,"I think sdhuskers wife has had the """"Not Everthing is Flat"""" tshirt for many years.  And a waitress at the Sidetrack had one, too!",1348,visible,0,8,0,a:0:{},0,,0,0,0
17229,821,502,BugskerJeff,1270498812,"[quote=""""Bucky, post: 17183""""]I think sdhuskers wife has had the """"Not Everthing is Flat"""" tshirt for many years.  And a waitress at the Sidetrack had one, too![/QUOTE]

My sister also has that shirt.  And now I'm going to go throw up.",1349,visible,0,9,0,a:0:{},0,,0,0,0
17279,821,277,RussianRed,1270506115,"[quote=""""BugskerJeff, post: 17229""""]My sister also has that shirt.  And now I'm going to go throw up.[/QUOTE]
 
Did Carl have that shirt Bugs?, or is that a sore subject too. Your still a hebhitch to me!",1350,visible,0,10,0,a:0:{},0,,0,0,0
17397,821,493,Bugeater45,1270529003,"[quote=""""RedPhoenix, post: 17032""""]Me with Maxy and some crazy Russian dude.

[IMG]http://i42.tinypic.com/2dl9n4n.jpg[/IMG][/QUOTE]
 
I recognize Max and RP but who is the cheesy Husker fan on the left??? ;) :D",1351,visible,0,11,0,a:0:{},0,,0,0,0
17398,821,349,unmartin,1270529015,"[quote=""""RussianRed, post: 17279""""]Did Carl have that shirt Bugs?, or is that a sore subject too. Your still a [B]hebhitch[/B] to me![/QUOTE]

I believe it is pronounced """"heeyyyyyyyyyyyybitch""""",1352,visible,0,12,0,a:0:{},0,,0,0,0
17407,821,269,Husker Country Doc,1270530172,"[IMG]http://i112.photobucket.com/albums/n198/gtshaw88/IMG_2804.jpg[/IMG]

HCD's family, at KC Marriott prior to the 2006 CCG.

[IMG]http://i112.photobucket.com/albums/n198/gtshaw88/IMG_2825.jpg[/IMG]

[IMG]http://i112.photobucket.com/albums/n198/gtshaw88/IMG_2812.jpg[/IMG]",1353,visible,0,13,0,a:0:{},0,,0,0,0
17939,821,271,Pops,1270590701,Great looking family Doc,1354,visible,0,14,0,a:0:{},0,,0,0,0
18976,821,4,Huskermedic,1270693278,"Here is one of me on the job........


[IMG]http://t1.gstatic.com/images?q=tbn:q29hpIqcoNjhjM:http://cdn.cloudfiles.mosso.com/c117812/media_center/images/rendered/blog/wysiwyg/Bill-Callahan.jpg[/IMG]",1355,visible,0,15,0,a:0:{},0,,0,0,0
19004,821,179,rw120555,1270695334,"[quote=""""Husker Country Doc, post: 17407""""][IMG]http://i112.photobucket.com/albums/n198/gtshaw88/IMG_2804.jpg[/IMG]

[/QUOTE]
I always pictured HCD as being some old guy in his 70s carrying a 40 year old doctor's bag around.  Looks like I pretty much nailed it. ;)",1356,visible,0,16,1,"a:1:{i:0;a:2:{s:7:""""user_id"""";i:269;s:8:""""username"""";s:18:""""Husker Country Doc"""";}}",0,,0,0,0
19028,821,436,nebstud2001,1270697639,"I'm not sure I should do this..


I might break the whole darn Husker Max website by doing this.

[ATTACH]42.vB[/ATTACH]

[ATTACH]43.vB[/ATTACH]",1357,visible,2,17,0,a:0:{},0,,0,0,0
19038,821,269,Husker Country Doc,1270698641,"[quote=""""rw120555, post: 19004""""]I always pictured HCD as being some old guy in his 70s carrying a 40 year old doctor's bag around.  Looks like I pretty much nailed it. ;)[/QUOTE]
 
Yeah, those pics are from 40 years ago ;)

Stodgy is my middle name...

I DO need updated pics, though.",1358,visible,0,18,0,a:0:{},0,,0,0,0
19041,821,341,Uncle Buck,1270699008,"[quote=""""rw120555, post: 19004""""]I always pictured HCD as being some old guy in his 70s carrying a 40 year old doctor's bag around.  Looks like I pretty much nailed it. ;)[/QUOTE]
 
Yep, old Burt Lancaster as Doc """"Moonlight"""" Graham of Field of Dreams fame......
That's how I picture him. Then he had to ruin it with his All American family.",1359,visible,0,19,0,a:0:{},0,,0,0,0
19069,821,353,BenRadicallyRed68,1270708463,"For better or worse this is me, at the time I was doing evangelical work in ND.



[URL=http://img64.imageshack.us/i/benj.jpg/][IMG]http://img64.imageshack.us/img64/5293/benj.jpg[/IMG][/URL]",1360,visible,0,20,0,a:0:{},0,,0,0,0
